tweet_id,clean_tweet,user_id,lat,long,city,country,state,state_code,political_label,label_score,stance
1.3165369183021752e+18,icecube isnt for trump he wants an agenda to help black people ice cube spoke to the democrats as well democrats want to discuss the plan after the election while trump wants to work something out trump wants to win democrat republican to stop police killing black ppl,24464668.0,40.7127281,-74.0060152,New York,United States of America,New York,NY,Police Reform,0.6889777779579163,Weakly Supports
1.3165518857053594e+18,pamplin media group mayoral aspirants hit each other over campaign quotes portlandprotests portlandriots pdx oregon tedwheeler portland sarahiannarone antifa trump biden portlandpolice orpol,305318642.0,45.5202471,-122.6741949,Portland,United States of America,Oregon,OR,Police Reform,0.4210484325885772,Neutral
1.316561225220649e+18,trump hasnt done shit over policebrutality and still fans the flames of whitesupremacy lame wrong noexcuse soldout howmuchdidtheypayyou,262050098.0,34.0536909,-118.242766,Los Angeles,United States of America,California,CA,Police Reform,0.423622190952301,Weakly Supports
1.3165810310263276e+18,were supposed to believe big 3 begging icecube amp donaldtrump solved black problems in america with a 2 page pdf trump just got rid of racial sensitivity training for police says the 1619 project is poisonous and instead proposed the 1776 commissionbecause merica,54607044.0,31.8160381,-99.5120986,,United States of America,Texas,TX,Police Reform,0.5656293034553528,Weakly Opposes
1.3166350013839442e+18,with you all the way stu backtheblue defendthepolice bluelivesmatter alivesmatter trumppence2020,52172194.0,35.6729639,-79.03929190000001,,United States of America,North Carolina,NC,Police Reform,0.4199260473251343,Strongly Supports
1.3167270181432566e+18,sympathy for the liberal 3 all the police defunders and the police dismantlers will certainly vote for can you guess his name he would be pleased to meet them and introduce himself then take their votes thats the nature of your game trump biden election,7.264150795168522e+17,28.6122187,-80.8075538,,United States of America,Florida,FL,Police Reform,0.6922646760940552,Weakly Supports
1.3168492085116068e+18,just ask for 2k for every american making under 120k the airlines hotels cruise liners amp restaurants need a bailout then just pay 4 police amp 1st responders in broke states this should be that hard stimulus trump maga trumptownhall trump2020tosaveamerica,2773673031.0,34.0966764,-117.7197785,,United States of America,California,CA,Police Reform,0.5073016881942749,Weakly Supports
1.316901346247934e+18,well i guess hyperbole is the word of the night for the trump event meanwhile biden talking abt the need for more psychologists on police calls,14851523.0,40.7127281,-74.0060152,New York,United States of America,New York,NY,Police Reform,0.4404159486293793,Weakly Supports
1.3169119470324818e+18,civil war 2020 how were being divided amp what we can do before its too late venmo cash app blacklivesmatter slcprotest utah trump covid19 documentary podcast endpolicebrutality utah,1.2870247078925435e+18,40.7596198,-111.8867975,Salt Lake City,United States of America,Utah,UT,Police Reform,0.5294443368911743,Neutral
1.3169416903311892e+18,the group black angels ball held a rally and march starting at stonewall in nyc october 15 2020 calling for the end of police brutality nyc trump america blm,96163928.0,40.7127281,-74.0060152,New York,United States of America,New York,NY,Police Reform,0.8371123671531677,Neutral
1.316946238152069e+18,trump cant answer what he would do to protect young black men in society or policereform trumptownhall,1.0015874182340568e+18,42.3788774,-72.03236600000001,,United States of America,Massachusetts,MA,Police Reform,0.8627110719680786,Weakly Supports
1.3169729363775324e+18,christians dont need trump religious group leads attack on president as support drops in polls he does not value faith not really super pac claimstrumpgopelections,17674244.0,38.8949924,-77.0365581,Washington,United States of America,District of Columbia,DC,Police Reform,0.448138564825058,Weakly Opposes
1.3170037607998628e+18,posted on nextdoor and the owner demanded police investigation dumptrump2020 trumpispatientzero trump failedpresident,1.1237345426810348e+18,37.3361905,-121.890583,San Jose,United States of America,California,CA,Police Reform,0.4841479361057281,Weakly Supports
1.3171119728449044e+18,dea has long history of racism but bigots emboldened by trumps poisonous example 2017 incidents compelling evidence dea trainers openly discriminatory towards africanamericans hispanics amp female trainees blacklivesmatter reformthepolice,3091349857.0,47.6038321,-122.3300624,Seattle,United States of America,Washington,WA,Police Reform,0.7450456023216248,Strongly Supports
1.317116401384067e+18,sympathy for the liberal 3 all the police defunders and the police dismantlers will certainly vote for can you guess his name he would be pleased to meet them and introduce himself then take their votes thats the nature of your game trump biden election,7.264150795168522e+17,28.6122187,-80.8075538,,United States of America,Florida,FL,Police Reform,0.6922646760940552,Weakly Supports
1.3171536493159506e+18,another thing biden will need to fix police are cutting ties with domestic violence programs that support black lives matter trump trumpnotfitforoffice resist biden2020 bidenharristosaveamerica blacklivesmatter,2260675556.0,39.9527237,-75.16352619999999,Philadelphia,United States of America,Pennsylvania,PA,Police Reform,0.8889485001564026,Weakly Supports
1.3171759979728118e+18,amp8216shoot them in the legamp8217 biden has some police reform ideas at town hall biden biden2020 trump trump2020,49877285.0,32.7762719,-96.7968559,Dallas,United States of America,Texas,TX,Police Reform,0.836521565914154,Neutral
1.3172591836082668e+18,police are cutting ties with domestic violence programs that support black lives matter another example of trumps influence causing more space between community and law enforcement this is happening nationwide trump lawenforcement,9.146944960001188e+17,26.3586885,-80.08309840000001,Boca Raton,United States of America,Florida,FL,Police Reform,0.680909276008606,Neutral
1.3173142658423194e+18,instead of defunding the police why dont joe and hunter just fund all the police theyve clearly got enough money hunterbiden hunterbidensemails trumptownhall trump,78671961.0,40.0796606,-89.4337288,,United States of America,Illinois,IL,Police Reform,0.7081457376480103,Weakly Opposes
1.3174459499213865e+18,sympathy for the liberal 3 all the police defunders and the police dismantlers will certainly vote for can you guess his name he would be pleased to meet them and introduce himself then take their votes thats the nature of your game trump biden election,7.264150795168522e+17,28.6122187,-80.8075538,,United States of America,Florida,FL,Police Reform,0.6922646760940552,Weakly Supports
1.3174782287355126e+18,good i hope he does goodbye trump toadie colorado deserves better than you copolitics,34279982.0,38.7251776,-105.6077167,,United States of America,Colorado,CO,Police Reform,0.4741651713848114,Neutral
